32,977,265,MoveRight,1850,265,None
33,984,265,MoveRight,1850,265,None
34,991,265,MoveRight,1850,265,None
35,998,265,MoveRight,1850,265,None
36,1005,265,MoveRight,1850,265,None
37,1012,265,MoveRight,1850,265,None
38,1019,265,MoveRight,1850,265,None
39,1026,265,MoveRight,1850,265,None
40,1033,265,MoveRight,1850,265,None
41,1040,265,MoveRight,1850,265,None
42,1047,265,MoveRight,1850,265,None
43,1054,265,MoveRight,1850,265,None
44,1061,265,MoveRight,1850,265,None
45,1068,265,MoveRight,1850,265,None
46,1075,265,MoveRight,1850,265,None
47,1082,265,MoveRight,1850,265,None
48,1089,265,MoveRight,1850,265,None
49,1096,265,MoveRight,1850,265,None
50,1103,265,MoveRight,1850,265,None
51,1110,265,MoveRight,1850,265,None
52,1117,265,MoveRight,1850,265,None
53,1124,265,MoveRight,1850,265,None
54,1131,265,MoveRight,1850,265,None
55,1138,265,MoveRight,1850,265,None
56,1145,265,MoveRight,1850,265,None
57,1152,265,MoveRight,1850,265,None
58,1159,265,MoveRight,1850,265,None
59,1166,265,MoveRight,1850,265,None
60,1173,265,MoveRight,1850,265,None
61,1180,265,MoveRight,1850,265,None
62,1187,265,MoveRight,1850,265,None
63,1194,265,MoveRight,1850,265,None
64,1201,265,MoveRight,1850,265,None
65,1208,265,MoveRight,1850,265,None
66,1211.5,284.62,MoveRight,1850,265,None
67,1215,304.24,MoveRight,1850,265,None
68,1218.5,314.05,MoveRight,1850,265,None
69,1222,323.86,MoveRight,1850,265,None
70,1225.5,333.67,MoveRight,1850,265,None
71,1229,343.48,MoveRight,1850,265,None
72,1232.5,353.29,MoveRight,1850,265,None
73,1236,363.1,MoveRight,1850,265,None
74,1239.5,372.91,MoveRight,1850,265,None
75,1243,382.72,MoveRight,1850,265,None
76,1246.5,392.53,MoveRight,1850,265,None
77,1250,402.34,MoveRight,1850,265,None
78,1253.5,412.15,MoveRight,1850,265,None
79,1257,421.96,MoveRight,1850,265,None
80,1260.5,431.77,MoveRight,1850,265,None
81,1264,441.58,MoveRight,1850,265,None
82,1267.5,451.39,MoveRight,1850,265,None
83,1271,461.2,MoveRight,1850,265,None
84,1274.5,471.01,MoveRight,1850,265,None
85,1278,480.82,MoveRight,1850,265,None
86,1281.5,490.63,MoveRight,1850,265,None
87,1285,500.44,MoveRight,1850,265,None
88,1288.5,510.25,MoveRight,1850,265,None
89,1288.5,500.44,Spike,1850,265,None
89,1292,520.06,MoveRight,1850,265,None
90,1292,529.87,None,1843,265,MoveLeft
91,1292,539.68,None,1836,265,MoveLeft
92,1292,549.49,None,1829,265,MoveLeft
93,1292,559.3,None,1822,265,MoveLeft
94,1292,569.11,None,1815,265,MoveLeft
95,1292,578.92,None,1808,265,MoveLeft
96,1292,569.11,None,1801,265,MoveLeft
97,1292,559.3,None,1794,265,MoveLeft
98,1292,549.49,None,1787,265,MoveLeft
99,1292,539.68,None,1780,265,MoveLeft
107,323,265,MoveLeft,1850,265,None
108,316,265,MoveLeft,1850,265,None
109,309,265,MoveLeft,1850,265,None
110,302,265,MoveLeft,1850,265,None
111,295,265,MoveLeft,1850,265,None
112,288,265,MoveLeft,1850,265,None
