Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
1026,970.0,294.43,,2410,265,Serve
1026,970.0,294.43,,2410,265,
1030,970.0,265.0,,2410,265,
1045,970.0,265.0,,2403,265,MoveLeft
1046,970.0,265.0,,2396,265,MoveLeft
1047,970.0,265.0,,2389,265,MoveLeft
1048,970.0,265.0,,2382,265,MoveLeft
1049,970.0,265.0,,2375,265,MoveLeft
1050,970.0,265.0,,2368,265,MoveLeft
1051,970.0,265.0,,2361,265,MoveLeft
1052,970.0,265.0,,2354,265,MoveLeft
1053,970.0,265.0,,2347,265,MoveLeft
1054,970.0,265.0,,2340,265,MoveLeft
1055,970.0,265.0,,2333,265,MoveLeft
1056,970.0,265.0,,2326,265,MoveLeft
1057,970.0,265.0,,2319,265,MoveLeft
1058,970.0,265.0,,2312,265,MoveLeft
1059,970.0,265.0,,2305,265,MoveLeft
1060,970.0,265.0,,2298,265,MoveLeft
1061,970.0,265.0,,2291,265,MoveLeft
1062,970.0,265.0,,2284,265,MoveLeft
1063,970.0,265.0,,2277,265,MoveLeft
1064,970.0,265.0,,2270,265,MoveLeft
1065,970.0,265.0,,2263,265,MoveLeft
1066,970.0,265.0,,2256,265,MoveLeft
1067,970.0,265.0,,2249,265,MoveLeft
1068,970.0,265.0,,2242,265,MoveLeft
1069,970.0,265.0,,2235,265,MoveLeft
1070,977.0,265.0,MoveRight,2235,265,
1070,977.0,265.0,,2228,265,MoveLeft
1071,984.0,265.0,MoveRight,2228,265,
1071,984.0,265.0,,2221,265,MoveLeft
1072,991.0,265.0,MoveRight,2221,265,
1072,991.0,265.0,,2214,265,MoveLeft
1073,998.0,265.0,MoveRight,2214,265,
1073,998.0,265.0,,2207,265,MoveLeft
1074,1005.0,265.0,MoveRight,2207,265,
1074,1005.0,265.0,,2200,265,MoveLeft
1075,1012.0,265.0,MoveRight,2200,265,
1075,1012.0,265.0,,2193,265,MoveLeft
1076,1012.0,265.0,,2186,265,MoveLeft
1077,1012.0,265.0,,2179,265,MoveLeft
1078,1012.0,265.0,,2172,265,MoveLeft
1079,1012.0,265.0,,2165,265,MoveLeft
1080,1012.0,265.0,,2158,265,MoveLeft
1081,1005.0,265.0,MoveLeft,2158,265,
1081,1005.0,265.0,,2151,265,MoveLeft
1082,998.0,265.0,MoveLeft,2151,265,
1082,998.0,265.0,,2144,265,MoveLeft
1083,991.0,265.0,MoveLeft,2144,265,
1083,991.0,265.0,,2137,265,MoveLeft
1084,984.0,265.0,MoveLeft,2137,265,
1084,984.0,265.0,,2130,265,MoveLeft
1085,977.0,265.0,MoveLeft,2130,265,
1085,977.0,265.0,,2123,265,MoveLeft
1086,970.0,265.0,MoveLeft,2123,265,
1086,970.0,265.0,,2116,265,MoveLeft
