Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
243,977.0,265.0,None,2410,265,Serve
243,970.0,265.0,MoveLeft,2410,265,None
244,963.0,265.0,MoveLeft,2410,265,None
245,956.0,265.0,MoveLeft,2410,265,None
246,949.0,265.0,MoveLeft,2410,265,None
247,942.0,265.0,MoveLeft,2410,265,None
248,935.0,265.0,MoveLeft,2410,265,None
249,928.0,265.0,MoveLeft,2410,265,None
250,921.0,265.0,MoveLeft,2410,265,None
251,914.0,265.0,MoveLeft,2410,265,None
252,907.0,265.0,MoveLeft,2410,265,None
253,900.0,265.0,MoveLeft,2410,265,None
254,893.0,265.0,MoveLeft,2410,265,None
255,886.0,265.0,MoveLeft,2410,265,None
256,879.0,265.0,MoveLeft,2410,265,None
257,872.0,265.0,MoveLeft,2410,265,None
258,865.0,265.0,MoveLeft,2410,265,None
259,858.0,265.0,MoveLeft,2410,265,None
260,851.0,265.0,MoveLeft,2410,265,None
261,844.0,265.0,MoveLeft,2410,265,None
262,837.0,265.0,MoveLeft,2410,265,None
263,830.0,265.0,MoveLeft,2410,265,None
264,823.0,265.0,MoveLeft,2410,265,None
265,816.0,265.0,MoveLeft,2410,265,None
266,809.0,265.0,MoveLeft,2410,265,None
267,802.0,265.0,MoveLeft,2410,265,None
268,795.0,265.0,MoveLeft,2410,265,None
269,788.0,265.0,MoveLeft,2410,265,None
270,781.0,265.0,MoveLeft,2410,265,None
271,774.0,265.0,MoveLeft,2410,265,None
283,781.0,265.0,MoveRight,2410,265,None
284,788.0,265.0,MoveRight,2410,265,None
285,795.0,265.0,MoveRight,2410,265,None
286,802.0,265.0,MoveRight,2410,265,None
287,809.0,265.0,MoveRight,2410,265,None
288,816.0,265.0,MoveRight,2410,265,None
289,823.0,265.0,MoveRight,2410,265,None
290,830.0,265.0,MoveRight,2410,265,None
291,837.0,265.0,MoveRight,2410,265,None
292,844.0,265.0,MoveRight,2410,265,None
293,851.0,265.0,MoveRight,2410,265,None
294,858.0,265.0,MoveRight,2410,265,None
295,865.0,265.0,MoveRight,2410,265,None
315,865.0,265.0,Bump,2410,265,None
316,865.0,265.0,None,2403,265,MoveLeft
317,865.0,265.0,None,2396,265,MoveLeft
318,865.0,265.0,None,2389,265,MoveLeft
