Frame,PlayerPosX,PlayerPosY,PlayerEvent,BotPosX,BotPosY,BotEvent
1884,1040.0,265.0,,2410,265,Serve
1898,1033.0,265.0,MoveLeft,2410,265,
1899,1026.0,265.0,MoveLeft,2410,265,
1900,1019.0,265.0,MoveLeft,2410,265,
1901,1012.0,265.0,MoveLeft,2410,265,
1902,1005.0,265.0,MoveLeft,2410,265,
1903,998.0,265.0,MoveLeft,2410,265,
1904,991.0,265.0,MoveLeft,2410,265,
1904,991.0,265.0,,2403,265,MoveLeft
1905,984.0,265.0,MoveLeft,2403,265,
1905,984.0,265.0,,2396,265,MoveLeft
1906,977.0,265.0,MoveLeft,2396,265,
1906,977.0,265.0,,2389,265,MoveLeft
1907,970.0,265.0,MoveLeft,2389,265,
1907,970.0,265.0,,2382,265,MoveLeft
1908,963.0,265.0,MoveLeft,2382,265,
1908,963.0,265.0,,2375,265,MoveLeft
1909,956.0,265.0,MoveLeft,2375,265,
1909,956.0,265.0,,2368,265,MoveLeft
1910,949.0,265.0,MoveLeft,2368,265,
1910,949.0,265.0,,2361,265,MoveLeft
1911,942.0,265.0,MoveLeft,2361,265,
1911,942.0,265.0,,2354,265,MoveLeft
1912,935.0,265.0,MoveLeft,2354,265,
1912,935.0,265.0,,2347,265,MoveLeft
1913,928.0,265.0,MoveLeft,2347,265,
1913,928.0,265.0,,2340,265,MoveLeft
1914,921.0,265.0,MoveLeft,2340,265,
1914,921.0,265.0,,2333,265,MoveLeft
1915,914.0,265.0,MoveLeft,2333,265,
1915,914.0,265.0,,2326,265,MoveLeft
1916,907.0,265.0,MoveLeft,2326,265,
1916,907.0,265.0,,2319,265,MoveLeft
1917,900.0,265.0,MoveLeft,2319,265,
1917,900.0,265.0,,2312,265,MoveLeft
1918,893.0,265.0,MoveLeft,2312,265,
1918,893.0,265.0,,2305,265,MoveLeft
1919,886.0,265.0,MoveLeft,2305,265,
1919,886.0,265.0,,2298,265,MoveLeft
1920,879.0,265.0,MoveLeft,2298,265,
1920,879.0,265.0,,2291,265,MoveLeft
1921,872.0,265.0,MoveLeft,2291,265,
1921,872.0,265.0,,2284,265,MoveLeft
1922,865.0,265.0,MoveLeft,2284,265,
1922,865.0,265.0,,2277,265,MoveLeft
1923,858.0,265.0,MoveLeft,2277,265,
1923,858.0,265.0,,2270,265,MoveLeft
1924,858.0,265.0,,2263,265,MoveLeft
1925,858.0,265.0,,2256,265,MoveLeft
1926,858.0,265.0,,2249,265,MoveLeft
1927,858.0,265.0,,2242,265,MoveLeft
1928,858.0,265.0,,2235,265,MoveLeft
1929,858.0,265.0,,2228,265,MoveLeft
1930,858.0,265.0,,2221,265,MoveLeft
1931,858.0,265.0,,2214,265,MoveLeft
1932,858.0,265.0,,2207,265,MoveLeft
1933,858.0,265.0,,2200,265,MoveLeft
1934,858.0,265.0,,2193,265,MoveLeft
1935,858.0,265.0,,2186,265,MoveLeft
1936,858.0,265.0,,2179,265,MoveLeft
1937,858.0,265.0,,2172,265,MoveLeft
1938,858.0,265.0,,2165,265,MoveLeft
1939,858.0,265.0,,2158,265,MoveLeft
1940,858.0,265.0,,2151,265,MoveLeft
1941,858.0,265.0,,2144,265,MoveLeft
1942,858.0,265.0,,2137,265,MoveLeft
1943,858.0,265.0,,2130,265,MoveLeft
1944,858.0,265.0,,2123,265,MoveLeft
1945,858.0,265.0,,2116,265,MoveLeft
1946,858.0,265.0,,2109,265,MoveLeft
1947,858.0,265.0,,2102,265,MoveLeft
1948,858.0,265.0,,2095,265,MoveLeft
1949,858.0,265.0,,2088,265,MoveLeft
1950,858.0,265.0,,2081,265,MoveLeft
1951,851.0,265.0,MoveLeft,2081,265,
1951,851.0,265.0,,2074,265,MoveLeft
1952,844.0,265.0,MoveLeft,2074,265,
1952,844.0,265.0,,2067,265,MoveLeft
1953,837.0,265.0,MoveLeft,2067,265,
1953,837.0,265.0,,2060,265,MoveLeft
1954,830.0,265.0,MoveLeft,2060,265,
1954,830.0,265.0,,2053,265,MoveLeft
1955,823.0,265.0,MoveLeft,2053,265,
1955,823.0,265.0,,2046,265,MoveLeft
1956,816.0,265.0,MoveLeft,2046,265,
1956,816.0,265.0,,2039,265,MoveLeft
1957,809.0,265.0,MoveLeft,2039,265,
1957,809.0,265.0,,2032,265,MoveLeft
1958,802.0,265.0,MoveLeft,2032,265,
1958,802.0,265.0,,2025,265,MoveLeft
1959,795.0,265.0,MoveLeft,2025,265,
1959,795.0,265.0,,2018,265,MoveLeft
1960,795.0,265.0,,2011,265,MoveLeft
2008,977.0,265.0,MoveRight,2410,265,
2009,984.0,265.0,MoveRight,2410,265,
2010,991.0,265.0,MoveRight,2410,265,
